name,year,data
上海市,2014,25270
上海市,2023,47219
云南省,2014,14042
云南省,2023,30021
内蒙古自治区,2014,12158
内蒙古自治区,2023,24627
北京市,2014,22926
北京市,2023,43761
吉林省,2014,9966
吉林省,2023,13531
四川省,2014,28891
四川省,2023,60133
天津市,2014,10641
天津市,2023,16737
宁夏回族自治区,2014,2474
宁夏回族自治区,2023,5315
安徽省,2014,22520
安徽省,2023,47051
山东省,2014,50775
山东省,2023,92069
山西省,2014,12095
山西省,2023,25698
广东省,2014,68173
广东省,2023,135673
广西壮族自治区,2014,13588
广西壮族自治区,2023,27202
新疆维吾尔自治区,2014,9264
新疆维吾尔自治区,2023,19126
江苏省,2014,64830
江苏省,2023,128222
江西省,2014,15668
江西省,2023,32200
河北省,2014,25209
河北省,2023,43944
河南省,2014,34575
河南省,2023,59132
浙江省,2014,40024
浙江省,2023,82553
海南省,2014,3449
海南省,2023,7551
湖北省,2014,28242
湖北省,2023,55804
湖南省,2014,25881
湖南省,2023,50013
甘肃省,2014,6518
甘肃省,2023,11864
福建省,2014,24942
福建省,2023,54355
西藏自治区,2014,940
西藏自治区,2023,2393
贵州省,2014,9173
贵州省,2023,20913
辽宁省,2014,20026
辽宁省,2023,30209
重庆市,2014,14624
重庆市,2023,30146
陕西省,2014,17402
陕西省,2023,33786
青海省,2014,1848
青海省,2023,3799
黑龙江省,2014,12171
黑龙江省,2023,15884
